Parc;no x;no y;ne x;ne y;se x;se y;so x;so y
1;285072;583102;285307;583165;285373;582924;285138;582861
2;285010;582774;285251;582837;285317;582596;285075;582533
3;285333;582754;285574;582818;285636;582577;285395;582513
4;285812;583055;286050;583120;286116;582878;285877;582813
5;286099;583131;286337;583200;286404;582958;286165;582889
6;286395;583180;286634;583239;286696;582995;286457;582936
7;285963;582714;286203;582780;286269;582543;286030;582476
8;285891;582268;286130;582337;286193;582097;285954;582028
9;286147;581738;286385;581806;286452;581565;286213;581497
10;286447;581801;286687;581863;286749;581620;286509;581558
11;286089;581412;286330;581479;286394;581240;286154;581174
12;286383;581469;286622;581536;286685;581294;286445;581226
13;285337;583260;285571;583333;285646;583095;285412;583021
14;285716;583384;285953;583454;286024;583216;285787;583145
15;286261;583742;286498;583813;286575;583578;286338;583506
16;285056;581678;285536;581821;285680;581343;285201;581199
